"","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit"
"69",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Plotosus lineatus",217659,NA,"Count (Dmnless)",36,"Dmnless"
"70",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",13,"Dmnless"
"71",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",14,"Dmnless"
"72",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Spicara maena",126828,NA,"Count (Dmnless)",150,"Dmnless"
"73",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Spicara smaris",126830,NA,"Count (Dmnless)",98,"Dmnless"
"74",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Stephanolepis diaspros",127408,NA,"Count (Dmnless)",4,"Dmnless"
"75",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",19,"Dmnless"
"76",2009-03-26,"32.051985_34.729586_6541","32.051985_34.729586_6541_20090326",NA,NA,17.5,"Upeneus pori",273671,NA,"Count (Dmnless)",12,"Dmnless"
"77",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Arnoglossus",126109,NA,"Count (Dmnless)",1,"Dmnless"
"78",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Bothus podas",127129,NA,"Count (Dmnless)",2,"Dmnless"
"79",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",30,"Dmnless"
"80",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Decapterus russelli",218427,NA,"Count (Dmnless)",4,"Dmnless"
"81",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",1,"Dmnless"
"82",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",1,"Dmnless"
"83",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",1,"Dmnless"
"84",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Nemipterus randalli",218518,NA,"Count (Dmnless)",16,"Dmnless"
"85",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Plotosus lineatus",217659,NA,"Count (Dmnless)",21,"Dmnless"
"86",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Saurida undosquamis",126371,NA,"Count (Dmnless)",2,"Dmnless"
"87",2010-01-08,"32.051985_34.729586_6541","32.051985_34.729586_6541_20100108",NA,NA,15,"Upeneus pori",273671,NA,"Count (Dmnless)",1,"Dmnless"
"88",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Balistes capriscus",154721,NA,"Count (Dmnless)",1,"Dmnless"
"89",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Boops boops",127047,NA,"Count (Dmnless)",7,"Dmnless"
"90",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Bothus podas",127129,NA,"Count (Dmnless)",1,"Dmnless"
"91",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Citharus linguatula",127130,NA,"Count (Dmnless)",1,"Dmnless"
"92",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Decapterus russelli",218427,NA,"Count (Dmnless)",32,"Dmnless"
"93",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",1,"Dmnless"
"94",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",4,"Dmnless"
"95",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Etrumeus sadina",584793,NA,"Count (Dmnless)",2,"Dmnless"
"96",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",1,"Dmnless"
"97",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",1,"Dmnless"
"98",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Nemipterus randalli",218518,NA,"Count (Dmnless)",26,"Dmnless"
"99",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Ostorhinchus fasciatus",712656,NA,"Count (Dmnless)",2,"Dmnless"
"100",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Plotosus lineatus",217659,NA,"Count (Dmnless)",38,"Dmnless"
"101",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Pomadasys stridens",126948,NA,"Count (Dmnless)",32,"Dmnless"
"102",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Sardinella aurita",126422,NA,"Count (Dmnless)",16,"Dmnless"
"103",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Saurida undosquamis",126371,NA,"Count (Dmnless)",9,"Dmnless"
"104",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Scomber japonicus",127022,NA,"Count (Dmnless)",5,"Dmnless"
"105",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",2,"Dmnless"
"106",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",1,"Dmnless"
"107",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Trachurus trachurus",126822,NA,"Count (Dmnless)",1,"Dmnless"
"108",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",32,"Dmnless"
"109",2011-01-21,"32.051985_34.729586_6541","32.051985_34.729586_6541_20110121",NA,NA,22,"Upeneus pori",273671,NA,"Count (Dmnless)",8,"Dmnless"
"110",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Alectis alexandrina",401555,NA,"Count (Dmnless)",1,"Dmnless"
"111",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Alepes djedaba",126800,NA,"Count (Dmnless)",34,"Dmnless"
"112",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",123,"Dmnless"
"113",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless"
"114",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Pomadasys incisus",126947,NA,"Count (Dmnless)",1,"Dmnless"
"115",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless"
"116",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Saurida undosquamis",126371,NA,"Count (Dmnless)",5,"Dmnless"
"117",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Scomber japonicus",127022,NA,"Count (Dmnless)",2,"Dmnless"
"118",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",17,"Dmnless"
"119",1990-09-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_19900904",NA,NA,20,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",57,"Dmnless"
"120",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Boops boops",127047,NA,"Count (Dmnless)",3,"Dmnless"
"121",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Bothus podas",127129,NA,"Count (Dmnless)",2,"Dmnless"
"122",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Citharus linguatula",127130,NA,"Count (Dmnless)",10,"Dmnless"
"123",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",53,"Dmnless"
"124",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless"
"125",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",3,"Dmnless"
"126",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Macroramphosus scolopax",127378,NA,"Count (Dmnless)",1,"Dmnless"
"127",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Mullus barbatus",126985,NA,"Count (Dmnless)",4,"Dmnless"
"128",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless"
"129",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagellus acarne",127057,NA,"Count (Dmnless)",4,"Dmnless"
"130",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",34,"Dmnless"
"131",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless"
"132",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pegusa impar",236490,NA,"Count (Dmnless)",2,"Dmnless"
"133",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Sardina pilchardus",126421,NA,"Count (Dmnless)",73,"Dmnless"
"134",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Saurida undosquamis",126371,NA,"Count (Dmnless)",14,"Dmnless"
"135",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Serranus hepatus",127042,NA,"Count (Dmnless)",1,"Dmnless"
"136",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",6,"Dmnless"
"137",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Spicara smaris",126830,NA,"Count (Dmnless)",10,"Dmnless"
"138",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Stephanolepis diaspros",127408,NA,"Count (Dmnless)",4,"Dmnless"
"139",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",13,"Dmnless"
"140",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",41,"Dmnless"
"141",1991-07-16,"32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Upeneus pori",273671,NA,"Count (Dmnless)",5,"Dmnless"
"142",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless"
"143",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Bothus podas",127129,NA,"Count (Dmnless)",1,"Dmnless"
"144",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Chelidonichthys lastoviza",127261,NA,"Count (Dmnless)",2,"Dmnless"
"145",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Citharus linguatula",127130,NA,"Count (Dmnless)",2,"Dmnless"
"146",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",1,"Dmnless"
"147",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",2,"Dmnless"
"148",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Merluccius merluccius",126484,NA,"Count (Dmnless)",1,"Dmnless"
"149",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",1,"Dmnless"
"150",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless"
"151",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",7,"Dmnless"
"152",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",12,"Dmnless"
"153",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless"
"154",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",1,"Dmnless"
"155",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",9,"Dmnless"
"156",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",1,"Dmnless"
"157",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Spicara smaris",126830,NA,"Count (Dmnless)",2,"Dmnless"
"158",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Synodus saurus",126372,NA,"Count (Dmnless)",1,"Dmnless"
