"","X","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit","month","year"
"16",125,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",3,"Dmnless",7,1991
"17",126,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Macroramphosus scolopax",127378,NA,"Count (Dmnless)",1,"Dmnless",7,1991
"18",127,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Mullus barbatus",126985,NA,"Count (Dmnless)",4,"Dmnless",7,1991
"19",128,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless",7,1991
"20",129,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagellus acarne",127057,NA,"Count (Dmnless)",4,"Dmnless",7,1991
"21",130,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",34,"Dmnless",7,1991
"22",131,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless",7,1991
"23",132,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Pegusa impar",236490,NA,"Count (Dmnless)",2,"Dmnless",7,1991
"24",133,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Sardina pilchardus",126421,NA,"Count (Dmnless)",73,"Dmnless",7,1991
"25",134,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Saurida undosquamis",126371,NA,"Count (Dmnless)",14,"Dmnless",7,1991
"26",135,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Serranus hepatus",127042,NA,"Count (Dmnless)",1,"Dmnless",7,1991
"27",136,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",6,"Dmnless",7,1991
"28",137,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Spicara smaris",126830,NA,"Count (Dmnless)",10,"Dmnless",7,1991
"29",138,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Stephanolepis diaspros",127408,NA,"Count (Dmnless)",4,"Dmnless",7,1991
"30",139,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",13,"Dmnless",7,1991
"31",140,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",41,"Dmnless",7,1991
"32",141,"1991-07-16","32.836143_35.027246_6541","32.836143_35.027246_6541_19910716",NA,NA,26,"Upeneus pori",273671,NA,"Count (Dmnless)",5,"Dmnless",7,1991
"33",142,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless",7,1992
"34",143,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Bothus podas",127129,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"35",144,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Chelidonichthys lastoviza",127261,NA,"Count (Dmnless)",2,"Dmnless",7,1992
"36",145,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Citharus linguatula",127130,NA,"Count (Dmnless)",2,"Dmnless",7,1992
"37",146,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"38",147,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",2,"Dmnless",7,1992
"39",148,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Merluccius merluccius",126484,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"40",149,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"41",150,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"42",151,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",7,"Dmnless",7,1992
"43",152,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",12,"Dmnless",7,1992
"44",153,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"45",154,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"46",155,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",9,"Dmnless",7,1992
"47",156,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"48",157,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Spicara smaris",126830,NA,"Count (Dmnless)",2,"Dmnless",7,1992
"49",158,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Synodus saurus",126372,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"50",159,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachinus draco",127082,NA,"Count (Dmnless)",1,"Dmnless",7,1992
"51",160,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",7,"Dmnless",7,1992
"52",161,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachurus trachurus",126822,NA,"Count (Dmnless)",2,"Dmnless",7,1992
"53",162,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trichiurus lepturus",127089,NA,"Count (Dmnless)",7,"Dmnless",7,1992
"54",163,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trigla lyra",127266,NA,"Count (Dmnless)",49,"Dmnless",7,1992
"55",164,"1992-07-15","32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",12,"Dmnless",7,1992
"56",165,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless",8,1993
"57",166,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",5,"Dmnless",8,1993
"58",167,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",110,"Dmnless",8,1993
"59",168,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless",8,1993
"60",169,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",1,"Dmnless",8,1993
"61",170,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",90,"Dmnless",8,1993
"62",171,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",2,"Dmnless",8,1993
"63",172,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",2,"Dmnless",8,1993
"64",173,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",4,"Dmnless",8,1993
"65",174,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sardina pilchardus",126421,NA,"Count (Dmnless)",48,"Dmnless",8,1993
"66",175,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless",8,1993
"67",176,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Saurida undosquamis",126371,NA,"Count (Dmnless)",3,"Dmnless",8,1993
"68",177,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",14,"Dmnless",8,1993
"69",178,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Serranus hepatus",127042,NA,"Count (Dmnless)",4,"Dmnless",8,1993
"70",179,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",13,"Dmnless",8,1993
"71",180,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",7,"Dmnless",8,1993
"72",181,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Trichiurus lepturus",127089,NA,"Count (Dmnless)",2,"Dmnless",8,1993
"73",182,"1993-08-25","32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",59,"Dmnless",8,1993
"74",183,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",27,"Dmnless",8,1994
"75",184,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",1,"Dmnless",8,1994
"76",185,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",90,"Dmnless",8,1994
"77",186,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",86,"Dmnless",8,1994
"78",187,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",4,"Dmnless",8,1994
"79",188,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",47,"Dmnless",8,1994
"80",189,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",7,"Dmnless",8,1994
"81",190,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Sardina pilchardus",126421,NA,"Count (Dmnless)",5,"Dmnless",8,1994
"82",191,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",24,"Dmnless",8,1994
"83",192,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",44,"Dmnless",8,1994
"84",193,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless",8,1994
"85",194,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",92,"Dmnless",8,1994
"86",195,"1994-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",8,"Dmnless",8,1994
"87",196,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Alepes djedaba",126800,NA,"Count (Dmnless)",16,"Dmnless",8,2009
"88",197,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Apogon imberbis",273021,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"89",198,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless",8,2009
"90",199,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Bothus podas",127129,NA,"Count (Dmnless)",4,"Dmnless",8,2009
"91",200,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",23,"Dmnless",8,2009
"92",201,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Diplodus annularis",127049,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"93",202,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Diplodus cervinus",127051,NA,"Count (Dmnless)",4,"Dmnless",8,2009
"94",203,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",4,"Dmnless",8,2009
"95",204,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Jaydia smithi",313170,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"96",205,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"97",206,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",3,"Dmnless",8,2009
"98",207,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",14,"Dmnless",8,2009
"99",208,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Nemipterus randalli",218518,NA,"Count (Dmnless)",2,"Dmnless",8,2009
"100",209,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Oblada melanurus",1577363,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"101",210,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",10,"Dmnless",8,2009
"102",211,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",5,"Dmnless",8,2009
"103",212,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Plotosus lineatus",217659,NA,"Count (Dmnless)",7,"Dmnless",8,2009
"104",213,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Raja miraletus",105886,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"105",214,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Seriola dumerili",126816,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"106",215,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Sparus aurata",151523,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"107",216,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"108",217,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Trachurus indicus",218443,NA,"Count (Dmnless)",1,"Dmnless",8,2009
"109",218,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",4,"Dmnless",8,2009
"110",219,"2009-08-14","32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Upeneus pori",273671,NA,"Count (Dmnless)",10,"Dmnless",8,2009
"111",220,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Alepes djedaba",126800,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"112",221,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless",8,2010
"113",222,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Bothus podas",127129,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"114",223,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",4,"Dmnless",8,2010
"115",224,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Decapterus russelli",218427,NA,"Count (Dmnless)",61,"Dmnless",8,2010
"116",225,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",37,"Dmnless",8,2010
"117",226,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",16,"Dmnless",8,2010
"118",227,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",3,"Dmnless",8,2010
"119",228,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",4,"Dmnless",8,2010
"120",229,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Nemipterus randalli",218518,NA,"Count (Dmnless)",7,"Dmnless",8,2010
"121",230,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless",8,2010
"122",231,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Plotosus lineatus",217659,NA,"Count (Dmnless)",48,"Dmnless",8,2010
"123",232,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Pomadasys stridens",126948,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"124",233,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sardinella aurita",126422,NA,"Count (Dmnless)",2,"Dmnless",8,2010
"125",234,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",2,"Dmnless",8,2010
"126",235,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Scomber japonicus",127022,NA,"Count (Dmnless)",38,"Dmnless",8,2010
"127",236,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Seriola dumerili",126816,NA,"Count (Dmnless)",13,"Dmnless",8,2010
"128",237,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sillago sihama",127046,NA,"Count (Dmnless)",2,"Dmnless",8,2010
"129",238,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"130",239,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"131",240,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Stephanolepis diaspros",127408,NA,"Count (Dmnless)",4,"Dmnless",8,2010
"132",241,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Trachurus trachurus",126822,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"133",242,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",1,"Dmnless",8,2010
"134",243,"2010-08-04","32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Upeneus pori",273671,NA,"Count (Dmnless)",16,"Dmnless",8,2010
"135",244,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Bothus podas",127129,NA,"Count (Dmnless)",50,"Dmnless",6,2012
"136",245,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",8,"Dmnless",6,2012
"137",246,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Ctenolabrus rupestris",126964,NA,"Count (Dmnless)",2,"Dmnless",6,2012
"138",247,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Dentex",126075,NA,"Count (Dmnless)",8,"Dmnless",6,2012
"139",248,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",232,"Dmnless",6,2012
"140",249,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",6,"Dmnless",6,2012
"141",250,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",6,"Dmnless",6,2012
"142",251,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Nemipterus randalli",218518,NA,"Count (Dmnless)",24,"Dmnless",6,2012
"143",252,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pagellus acarne",127057,NA,"Count (Dmnless)",21,"Dmnless",6,2012
"144",253,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",7,"Dmnless",6,2012
"145",254,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pomadasys stridens",126948,NA,"Count (Dmnless)",15,"Dmnless",6,2012
"146",255,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Sargocentron rubrum",126400,NA,"Count (Dmnless)",1,"Dmnless",6,2012
"147",256,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Saurida undosquamis",126371,NA,"Count (Dmnless)",14,"Dmnless",6,2012
"148",257,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Scomber japonicus",127022,NA,"Count (Dmnless)",8,"Dmnless",6,2012
